"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"3","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","3","51","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"4","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","3","56","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"5","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","3","72","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"6","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","3","77","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"7","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","3","82","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"8","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","3","87","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"9","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","2","102","Do not explicitly trigger a garbage collection.","Error Prone","DoNotCallGarbageCollectionExplicitly"
"10","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","2","112","Do not explicitly trigger a garbage collection.","Error Prone","DoNotCallGarbageCollectionExplicitly"
"11","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","2","134","Do not explicitly trigger a garbage collection.","Error Prone","DoNotCallGarbageCollectionExplicitly"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ObservableFlatMapPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ObservableFlatMapPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorFlatMapPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorFlatMapPerf.java","3","62","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","43","Empty while statement","Code Style","EmptyControlStatement"
"3","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","62","Empty while statement","Code Style","EmptyControlStatement"
"4","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","79","Empty while statement","Code Style","EmptyControlStatement"
"5","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","96","Empty while statement","Code Style","EmptyControlStatement"
"6","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","108","Empty while statement","Code Style","EmptyControlStatement"
"7","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","119","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PerfAsyncConsumer.java","3","43","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PerfAsyncConsumer.java","3","75","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PerfConsumer.java","3","39","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PerfInteropConsumer.java","4","17","Unused import 'org.reactivestreams.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PerfInteropConsumer.java","3","40","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PerfObserver.java","3","31","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PublishProcessorPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\PublishProcessorPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"3","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","3","65","Empty while statement","Code Style","EmptyControlStatement"
"4","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","3","78","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ReducePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\RxVsStreamPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\RxVsStreamPerf.java","3","29","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\StrictPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\StrictPerf.java","4","21","Unused import 'org.reactivestreams.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\StrictPerf.java","3","27","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","4","20","Unused import 'io.reactivex.rxjava3.functions.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"4","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","2","33","Use of modifier volatile is not recommended.","Multithreading","AvoidUsingVolatile"
"5","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","53","Empty while statement","Code Style","EmptyControlStatement"
"6","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","62","Empty while statement","Code Style","EmptyControlStatement"
"7","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","79","Empty while statement","Code Style","EmptyControlStatement"
"8","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","93","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java","4","22","Unused import 'io.reactivex.rxjava3.functions.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"4","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java","2","97","Use of modifier volatile is not recommended.","Multithreading","AvoidUsingVolatile"
"1","io.reactivex.rxjava3.parallel","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\parallel\ParallelPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.parallel","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\parallel\ParallelPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapCompletablePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapCompletablePerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybeEmptyPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybeEmptyPerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybePerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapSinglePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapSinglePerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapCompletablePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapCompletablePerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybeEmptyPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybeEmptyPerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybePerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapSinglePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapSinglePerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapCompletablePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
