"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.boot.build.bom","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\Library.java","3","106","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\InteractiveUpgradeResolver.java","4","66","Useless parentheses.","Code Style","UselessParentheses"
"1","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\MultithreadedLibraryUpdateResolver.java","2","58","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\MultithreadedLibraryUpdateResolver.java","3","59","Ensure that resources like this ExecutorService object are closed after use","Error Prone","CloseResource"
"3","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\MultithreadedLibraryUpdateResolver.java","3","77","Avoid unused private methods such as 'getResult(Future<List<LibraryWithVersionOptions>>)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\StandardLibraryUpdateResolver.java","2","66","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\StandardLibraryUpdateResolver.java","2","70","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\StandardLibraryUpdateResolver.java","3","77","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\StandardLibraryUpdateResolver.java","3","135","Avoid unused method parameters such as 'library'.","Best Practices","UnusedFormalParameter"
"1","org.springframework.boot.build.bom.bomr","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\UpgradeDependencies.java","3","220","Consider simply returning the value vs storing it in local variable 'upgrades'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.springframework.boot.build.bom.bomr.github","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\github\StandardGitHub.java","3","51","Useless qualified this usage in the same class.","Code Style","UselessQualifiedThis"
"2","org.springframework.boot.build.bom.bomr.github","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\github\StandardGitHub.java","3","54","Useless qualified this usage in the same class.","Code Style","UselessQualifiedThis"
"3","org.springframework.boot.build.bom.bomr.github","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\github\StandardGitHub.java","3","54","Useless qualified this usage in the same class.","Code Style","UselessQualifiedThis"
"1","org.springframework.boot.build.bom.bomr.github","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\github\StandardGitHubRepository.java","3","65","An instanceof check is being performed on the caught exception.  Create a separate catch clause for this exception type.","Error Prone","AvoidInstanceofChecksInCatchClause"
"1","org.springframework.boot.build.bom.bomr.version","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\version\ReleaseTrainDependencyVersion.java","3","73","Avoid unused private methods such as 'isUpgrade(ReleaseTrainDependencyVersion, boolean)'.","Best Practices","UnusedPrivateMethod"
"2","org.springframework.boot.build.bom.bomr.version","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\version\ReleaseTrainDependencyVersion.java","4","152","Useless parentheses.","Code Style","UselessParentheses"
"1","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","55","Avoid using implementation types like 'TreeSet'; use the interface instead","Best Practices","LooseCoupling"
"2","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","71","Avoid unused private methods such as 'prohibited(ModuleVersionIdentifier)'.","Best Practices","UnusedPrivateMethod"
"3","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","73","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","76","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"5","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","79","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"6","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","82","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"7","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","85","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"8","org.springframework.boot.build.classpath","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForProhibitedDependencies.java","3","91","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
